"","REG_ID","TIME","GDP_PC","POP","REG_ID_M","iso3","Regional name (eng)","metro_code","metro_name","metro_lev1","metro_large","metro_far"
"1","AT001MC","2000",53031.2367324806,2378930,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"2","AT001MC","2001",53151.149689104,2396300,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"3","AT001MC","2002",53788.682581786,2420340,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"4","AT001MC","2003",53262.1390190642,2445420,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"5","AT001MC","2004",54013.2794714091,2472990,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"6","AT001MC","2005",54101.7538252567,2503100,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"7","AT001MC","2006",55584.367255481,2525980,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"8","AT001MC","2007",56694.1914783183,2543160,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"9","AT001MC","2008",57322.3994625504,2560240,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"10","AT001MC","2009",55457.2773015281,2575680,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"11","AT001MC","2010",55906.168971478,2591680,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"12","AT001MC","2011",56556.4362580403,2610290,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"13","AT001MC","2012",55948.7924942215,2634770,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"14","AT001MC","2013",55186.8790707447,2665360,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"15","AT001MC","2014",54510.7019486025,2700910,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"16","AT001MC","2015",54010.4295550154,2747960,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"17","AT001MC","2016",54671.9436359536,2793270,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"18","AT001MC","2017",54562.7424881765,2824880,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"19","AT001MC","2018",55675.8940774287,2846230,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"20","AT001MC","2019",56269.6625290246,2863950,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"21","AT001MC","2020",52498.8057111889,2882290,"AT001MC","AUT","Wien","MR-L","Metropolitan large","Metropolitan","Metropolitan large","Metropolitan"
"22","AT002M","2000",45397.2527472528,546000,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"23","AT002M","2001",45450.1534717303,550590,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"24","AT002M","2002",45525.7483738815,556540,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"25","AT002M","2003",46677.8493549135,560390,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"26","AT002M","2004",48218.4365546887,565290,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"27","AT002M","2005",48773.1071822817,570710,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"28","AT002M","2006",49354.9733122381,575170,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"29","AT002M","2007",50951.1306120334,578890,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"30","AT002M","2008",51311.3205927299,582390,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"31","AT002M","2009",48929.8458281402,585710,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"32","AT002M","2010",49242.385679138,589350,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"33","AT002M","2011",50952.2445403074,593440,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
