"","iso3","TIME","theil","level"
"AUS-2000","AUS","2000",0.00941779963479024,"gdppc_tl2"
"AUS-2001","AUS","2001",0.00682948829489526,"gdppc_tl2"
"AUS-2002","AUS","2002",0.00789204434604449,"gdppc_tl2"
"AUS-2003","AUS","2003",0.0075705140723601,"gdppc_tl2"
"AUS-2004","AUS","2004",0.00893824763847807,"gdppc_tl2"
"AUS-2005","AUS","2005",0.0107309541966397,"gdppc_tl2"
"AUS-2006","AUS","2006",0.0157107863641312,"gdppc_tl2"
"AUS-2007","AUS","2007",0.0158393420358957,"gdppc_tl2"
"AUS-2008","AUS","2008",0.0183540945297684,"gdppc_tl2"
"AUS-2009","AUS","2009",0.0166611825311789,"gdppc_tl2"
"AUS-2010","AUS","2010",0.0225827795844082,"gdppc_tl2"
"AUS-2011","AUS","2011",0.0252513599911325,"gdppc_tl2"
"AUS-2012","AUS","2012",0.0262356020507629,"gdppc_tl2"
"AUS-2013","AUS","2013",0.0289539448336649,"gdppc_tl2"
"AUS-2014","AUS","2014",0.0225884534032154,"gdppc_tl2"
"AUS-2015","AUS","2015",0.0191757105274044,"gdppc_tl2"
"AUS-2016","AUS","2016",0.0194793528920973,"gdppc_tl2"
"AUS-2017","AUS","2017",0.0187805460749409,"gdppc_tl2"
"AUS-2018","AUS","2018",0.022334645274278,"gdppc_tl2"
"AUS-2019","AUS","2019",0.0286727043828983,"gdppc_tl2"
"AUS-2020","AUS","2020",0.0341182934885263,"gdppc_tl2"
"AUT-2000","AUT","2000",0.021059124819001,"gdppc_tl2"
"AUT-2001","AUT","2001",0.0214169050971448,"gdppc_tl2"
"AUT-2002","AUT","2002",0.0209646118643479,"gdppc_tl2"
"AUT-2003","AUT","2003",0.0193679735553936,"gdppc_tl2"
"AUT-2004","AUT","2004",0.0175671255361285,"gdppc_tl2"
"AUT-2005","AUT","2005",0.0182007137418663,"gdppc_tl2"
"AUT-2006","AUT","2006",0.0189045573795995,"gdppc_tl2"
"AUT-2007","AUT","2007",0.0176117060559184,"gdppc_tl2"
"AUT-2008","AUT","2008",0.0178717933268879,"gdppc_tl2"
"AUT-2009","AUT","2009",0.0179900475516585,"gdppc_tl2"
"AUT-2010","AUT","2010",0.0177156247205987,"gdppc_tl2"
"AUT-2011","AUT","2011",0.016882818833028,"gdppc_tl2"
"AUT-2012","AUT","2012",0.0159286187888748,"gdppc_tl2"
"AUT-2013","AUT","2013",0.0153288672358381,"gdppc_tl2"
"AUT-2014","AUT","2014",0.0145841232117894,"gdppc_tl2"
"AUT-2015","AUT","2015",0.014874812273899,"gdppc_tl2"
"AUT-2016","AUT","2016",0.0147887338895693,"gdppc_tl2"
"AUT-2017","AUT","2017",0.0131838430462594,"gdppc_tl2"
"AUT-2018","AUT","2018",0.0137825831488632,"gdppc_tl2"
"AUT-2019","AUT","2019",0.0128643394304186,"gdppc_tl2"
"AUT-2020","AUT","2020",0.0122005327140482,"gdppc_tl2"
"BEL-2000","BEL","2000",0.0873975792206002,"gdppc_tl2"
"BEL-2001","BEL","2001",0.0886812407391135,"gdppc_tl2"
"BEL-2002","BEL","2002",0.0886664343719888,"gdppc_tl2"
"BEL-2003","BEL","2003",0.0867148580774783,"gdppc_tl2"
"BEL-2004","BEL","2004",0.0855487110147678,"gdppc_tl2"
"BEL-2005","BEL","2005",0.08307774681176,"gdppc_tl2"
"BEL-2006","BEL","2006",0.0829005322490715,"gdppc_tl2"
"BEL-2007","BEL","2007",0.0798564828780284,"gdppc_tl2"
"BEL-2008","BEL","2008",0.0750436715996257,"gdppc_tl2"
"BEL-2009","BEL","2009",0.0767240148193014,"gdppc_tl2"
"BEL-2010","BEL","2010",0.0728981625656657,"gdppc_tl2"
"BEL-2011","BEL","2011",0.0710303050480694,"gdppc_tl2"
"BEL-2012","BEL","2012",0.0716088725267399,"gdppc_tl2"
"BEL-2013","BEL","2013",0.0702690337160106,"gdppc_tl2"
"BEL-2014","BEL","2014",0.0695216764692824,"gdppc_tl2"
"BEL-2015","BEL","2015",0.0706109335488309,"gdppc_tl2"
"BEL-2016","BEL","2016",0.0682342827464634,"gdppc_tl2"
"BEL-2017","BEL","2017",0.0673035809977618,"gdppc_tl2"
"BEL-2018","BEL","2018",0.0638802069804463,"gdppc_tl2"
"BEL-2019","BEL","2019",0.062779478477143,"gdppc_tl2"
"BEL-2020","BEL","2020",0.0628712818382375,"gdppc_tl2"
"CAN-2000","CAN","2000",0.0406286009791651,"gdppc_tl2"
"CAN-2001","CAN","2001",0.053692073435605,"gdppc_tl2"
"CAN-2002","CAN","2002",0.0445143424258858,"gdppc_tl2"
"CAN-2003","CAN","2003",0.0605566473562617,"gdppc_tl2"
"CAN-2004","CAN","2004",0.0714801772345425,"gdppc_tl2"
"CAN-2005","CAN","2005",0.0645634929020804,"gdppc_tl2"
"CAN-2006","CAN","2006",0.0601485557464196,"gdppc_tl2"
"CAN-2007","CAN","2007",0.0591017169832556,"gdppc_tl2"
"CAN-2008","CAN","2008",0.0662614861281398,"gdppc_tl2"
"CAN-2009","CAN","2009",0.0411540830754114,"gdppc_tl2"
"CAN-2010","CAN","2010",0.0534054056310675,"gdppc_tl2"
"CAN-2011","CAN","2011",0.0507350988386831,"gdppc_tl2"
"CAN-2012","CAN","2012",0.0435105984500945,"gdppc_tl2"
"CAN-2013","CAN","2013",0.045183174606229,"gdppc_tl2"
"CAN-2014","CAN","2014",0.0486046828243301,"gdppc_tl2"
"CAN-2015","CAN","2015",0.037996806768967,"gdppc_tl2"
"CAN-2016","CAN","2016",0.0300623279103528,"gdppc_tl2"
"CAN-2017","CAN","2017",0.0315716084264244,"gdppc_tl2"
"CAN-2018","CAN","2018",0.0311123237403498,"gdppc_tl2"
"CAN-2019","CAN","2019",0.0288680368655266,"gdppc_tl2"
"CAN-2020","CAN","2020",0.0346943908378329,"gdppc_tl2"
"COL-2000","COL","2000",0.156559905951533,"gdppc_tl2"
"COL-2001","COL","2001",0.156564526280518,"gdppc_tl2"
"COL-2002","COL","2002",0.156572515031875,"gdppc_tl2"
"COL-2003","COL","2003",0.156566786263235,"gdppc_tl2"
"COL-2004","COL","2004",0.156569088746882,"gdppc_tl2"
"COL-2005","COL","2005",0.15656486667784,"gdppc_tl2"
"COL-2006","COL","2006",0.149851537049185,"gdppc_tl2"
"COL-2007","COL","2007",0.137279346781969,"gdppc_tl2"
"COL-2008","COL","2008",0.160786699776073,"gdppc_tl2"
"COL-2009","COL","2009",0.134899375300614,"gdppc_tl2"
"COL-2010","COL","2010",0.148762416861952,"gdppc_tl2"
"COL-2011","COL","2011",0.193291783346576,"gdppc_tl2"
"COL-2012","COL","2012",0.190394891820257,"gdppc_tl2"
"COL-2013","COL","2013",0.185388173472903,"gdppc_tl2"
"COL-2014","COL","2014",0.15931591698324,"gdppc_tl2"
"COL-2015","COL","2015",0.119213242509458,"gdppc_tl2"
"COL-2016","COL","2016",0.0984886817281765,"gdppc_tl2"
"COL-2017","COL","2017",0.106096221511155,"gdppc_tl2"
"COL-2018","COL","2018",0.116917360681666,"gdppc_tl2"
"COL-2019","COL","2019",0.118922051924636,"gdppc_tl2"
"COL-2020","COL","2020",0.104936791657869,"gdppc_tl2"
"CZE-2000","CZE","2000",0.0552063497000351,"gdppc_tl2"
"CZE-2001","CZE","2001",0.0602010111186671,"gdppc_tl2"
"CZE-2002","CZE","2002",0.0704325881687342,"gdppc_tl2"
"CZE-2003","CZE","2003",0.0749664344894945,"gdppc_tl2"
"CZE-2004","CZE","2004",0.0763467460864051,"gdppc_tl2"
"CZE-2005","CZE","2005",0.0806271823360037,"gdppc_tl2"
