,iso3,TIME,theil,level
AUS-2000,AUS,2000,0.0094178,gdppc_tl2
AUS-2001,AUS,2001,0.006829488,gdppc_tl2
AUS-2002,AUS,2002,0.007892044,gdppc_tl2
AUS-2003,AUS,2003,0.007570514,gdppc_tl2
AUS-2004,AUS,2004,0.008938248,gdppc_tl2
AUS-2005,AUS,2005,0.010730954,gdppc_tl2
AUS-2006,AUS,2006,0.015710786,gdppc_tl2
AUS-2007,AUS,2007,0.015839342,gdppc_tl2
AUS-2008,AUS,2008,0.018354095,gdppc_tl2
AUS-2009,AUS,2009,0.016661183,gdppc_tl2
AUS-2010,AUS,2010,0.02258278,gdppc_tl2
AUS-2011,AUS,2011,0.02525136,gdppc_tl2
AUS-2012,AUS,2012,0.026235602,gdppc_tl2
AUS-2013,AUS,2013,0.028953945,gdppc_tl2
AUS-2014,AUS,2014,0.022588453,gdppc_tl2
AUS-2015,AUS,2015,0.019175711,gdppc_tl2
AUS-2016,AUS,2016,0.019479353,gdppc_tl2
AUS-2017,AUS,2017,0.018780546,gdppc_tl2
AUS-2018,AUS,2018,0.022334645,gdppc_tl2
AUS-2019,AUS,2019,0.028672704,gdppc_tl2
AUS-2020,AUS,2020,0.034118293,gdppc_tl2
AUT-2000,AUT,2000,0.021059125,gdppc_tl2
AUT-2001,AUT,2001,0.021416905,gdppc_tl2
AUT-2002,AUT,2002,0.020964612,gdppc_tl2
AUT-2003,AUT,2003,0.019367974,gdppc_tl2
AUT-2004,AUT,2004,0.017567126,gdppc_tl2
AUT-2005,AUT,2005,0.018200714,gdppc_tl2
AUT-2006,AUT,2006,0.018904557,gdppc_tl2
AUT-2007,AUT,2007,0.017611706,gdppc_tl2
AUT-2008,AUT,2008,0.017871793,gdppc_tl2
AUT-2009,AUT,2009,0.017990048,gdppc_tl2
AUT-2010,AUT,2010,0.017715625,gdppc_tl2
AUT-2011,AUT,2011,0.016882819,gdppc_tl2
AUT-2012,AUT,2012,0.015928619,gdppc_tl2
AUT-2013,AUT,2013,0.015328867,gdppc_tl2
AUT-2014,AUT,2014,0.014584123,gdppc_tl2
AUT-2015,AUT,2015,0.014874812,gdppc_tl2
AUT-2016,AUT,2016,0.014788734,gdppc_tl2
AUT-2017,AUT,2017,0.013183843,gdppc_tl2
AUT-2018,AUT,2018,0.013782583,gdppc_tl2
AUT-2019,AUT,2019,0.012864339,gdppc_tl2
AUT-2020,AUT,2020,0.012200533,gdppc_tl2
BEL-2000,BEL,2000,0.087397579,gdppc_tl2
BEL-2001,BEL,2001,0.088681241,gdppc_tl2
BEL-2002,BEL,2002,0.088666434,gdppc_tl2
BEL-2003,BEL,2003,0.086714858,gdppc_tl2
BEL-2004,BEL,2004,0.085548711,gdppc_tl2
BEL-2005,BEL,2005,0.083077747,gdppc_tl2
BEL-2006,BEL,2006,0.082900532,gdppc_tl2
BEL-2007,BEL,2007,0.079856483,gdppc_tl2
BEL-2008,BEL,2008,0.075043672,gdppc_tl2
BEL-2009,BEL,2009,0.076724015,gdppc_tl2
BEL-2010,BEL,2010,0.072898163,gdppc_tl2
BEL-2011,BEL,2011,0.071030305,gdppc_tl2
BEL-2012,BEL,2012,0.071608873,gdppc_tl2
BEL-2013,BEL,2013,0.070269034,gdppc_tl2
BEL-2014,BEL,2014,0.069521676,gdppc_tl2
BEL-2015,BEL,2015,0.070610934,gdppc_tl2
BEL-2016,BEL,2016,0.068234283,gdppc_tl2
BEL-2017,BEL,2017,0.067303581,gdppc_tl2
BEL-2018,BEL,2018,0.063880207,gdppc_tl2
BEL-2019,BEL,2019,0.062779478,gdppc_tl2
BEL-2020,BEL,2020,0.062871282,gdppc_tl2
CAN-2000,CAN,2000,0.040628601,gdppc_tl2
CAN-2001,CAN,2001,0.053692073,gdppc_tl2
CAN-2002,CAN,2002,0.044514342,gdppc_tl2
CAN-2003,CAN,2003,0.060556647,gdppc_tl2
CAN-2004,CAN,2004,0.071480177,gdppc_tl2
CAN-2005,CAN,2005,0.064563493,gdppc_tl2
CAN-2006,CAN,2006,0.060148556,gdppc_tl2
CAN-2007,CAN,2007,0.059101717,gdppc_tl2
CAN-2008,CAN,2008,0.066261486,gdppc_tl2
CAN-2009,CAN,2009,0.041154083,gdppc_tl2
CAN-2010,CAN,2010,0.053405406,gdppc_tl2
CAN-2011,CAN,2011,0.050735099,gdppc_tl2
CAN-2012,CAN,2012,0.043510598,gdppc_tl2
CAN-2013,CAN,2013,0.045183175,gdppc_tl2
CAN-2014,CAN,2014,0.048604683,gdppc_tl2
CAN-2015,CAN,2015,0.037996807,gdppc_tl2
